City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,copiapo,-27.3667,-70.3333,22.33,14,0,2.84,CL,2024-08-25 15:26:55
489,rockland,41.1668,-74.0496,28.8,61,68,1.45,US,2024-08-25 15:35:45
490,algona,43.07,-94.233,25.05,100,40,3.6,US,2024-08-25 15:37:49
491,kangding,30.0513,101.9603,17.16,95,99,1.43,CN,2024-08-25 15:37:49
492,coyhaique,-45.5752,-72.0662,6.44,75,100,0.83,CL,2024-08-25 15:35:16
493,pitimbu,-7.4706,-34.8086,25.91,67,48,7.86,BR,2024-08-25 15:37:49
494,mount gambier,-37.8333,140.7667,11.95,90,72,5.78,AU,2024-08-25 15:37:50
495,faya-largeau,17.9257,19.1043,39.19,25,52,2.75,TD,2024-08-25 15:37:50
496,houghton,47.1219,-88.569,24.86,81,0,3.09,US,2024-08-25 15:33:22
497,palmer,42.1584,-72.3287,24.39,73,75,0.0,US,2024-08-25 15:35:29
498,puerto el triunfo,13.2833,-88.55,29.86,68,36,1.13,SV,2024-08-25 15:37:50
499,punta gorda,26.9298,-82.0454,32.25,72,20,3.09,US,2024-08-25 15:37:50
500,severo-yeniseyskiy,60.3725,93.0408,11.77,98,47,1.91,RU,2024-08-25 15:37:51
501,charkhari,25.4,79.75,26.68,87,95,4.09,IN,2024-08-25 15:37:51
502,eagle pass,28.7091,-100.4995,30.71,65,0,2.57,US,2024-08-25 15:37:51
503,san julian,21.0167,-102.1667,19.23,69,2,3.59,MX,2024-08-25 15:37:51
504,santiago de cao,-7.9589,-79.2392,17.07,88,75,3.6,PE,2024-08-25 15:37:51
505,nikolayevsk-on-amure,53.1406,140.73,13.48,74,98,1.55,RU,2024-08-25 15:37:51
506,gisborne,-38.6533,178.0042,11.14,68,79,3.78,NZ,2024-08-25 15:33:32
507,salinopolis,-0.6136,-47.3561,30.08,63,84,6.26,BR,2024-08-25 15:37:51
508,varginha,-21.5514,-45.4303,26.8,33,37,3.55,BR,2024-08-25 15:35:01
509,kotabumi,-4.8333,104.9,23.72,82,36,3.39,ID,2024-08-25 15:34:59
510,crane,31.3974,-102.3501,29.55,45,1,6.3,US,2024-08-25 15:37:52
511,durant,33.994,-96.3708,32.24,51,0,5.14,US,2024-08-25 15:37:05
512,amarante do maranhao,-5.5667,-46.7422,37.34,20,10,2.83,BR,2024-08-25 15:37:52
513,qarauyl,48.9451,79.255,14.11,56,9,2.62,KZ,2024-08-25 15:37:52
514,coahuayana de hidalgo,18.7,-103.6583,30.58,62,48,0.41,MX,2024-08-25 15:37:52
515,denison,33.7557,-96.5367,32.91,60,11,1.34,US,2024-08-25 15:37:52
516,tripoli,32.8752,13.1875,29.39,56,0,4.54,LY,2024-08-25 15:37:52
